model,mode,class,AP50_95,AP50,AP75,AP_small,AP_medium,AP_large,Precision_conf025_iou05,Recall_conf025_iou05
e1,proxy_top1_standard,van,0.3743886279984728,0.5088757353245149,0.43477392219153477,0.24036438157286746,0.5010542045707354,0.45465258866465286,0.5562530178657653,0.5832911392405064
e1,proxy_top1_standard,truck,0.33678015337936507,0.4934879516603754,0.36586782243212773,0.18222622578242448,0.36755057746159064,0.6576951172511407,0.5314591700133868,0.5293333333333333
e1,proxy_top1_standard,tricycle,0.23933702604380036,0.4076386256430953,0.24598714348985107,0.20612120639784512,0.29758673810089153,0.39918647596466966,0.48262910798122066,0.49186602870813395
e1,proxy_top1_standard,awning-tricycle,0.13933172108117026,0.21251212896352448,0.1552312849311207,0.1172891248800362,0.17055819234019615,0.18712871287128707,0.3811881188118812,0.2894736842105263
e1,proxy_top1_standard,bus,0.5172176481772247,0.7050236289864199,0.5955407170913493,0.33081919502654866,0.6025935239485816,0.8194755487983949,0.7623318385650224,0.6772908366533864
e1,proxy_top1_standard,motor,0.322544712816864,0.6509408646080619,0.27387918441239173,0.2949038629092142,0.4365903779425153,0.24215464403583215,0.6026978417266187,0.6858370855505526
e1,oracle_utility_top1_standard,pedestrian,0.3434044544908372,0.680900901931268,0.3007110578860099,0.31608747597241693,0.5023933984832288,0.7205775213968801,0.7069345748591032,0.6524197195838987
e1,oracle_utility_top1_standard,people,0.23195899175419896,0.5415598842528524,0.15740277107467415,0.22552257849332197,0.3151523372596733,0.35940594059405945,0.6473152822395595,0.550439024390244
e1,oracle_utility_top1_standard,bicycle,0.17012156954184993,0.341216827451427,0.1428068003073705,0.13617586881192784,0.3185971114974662,0.3227722772277228,0.4110032362459547,0.3947163947163947
e1,oracle_utility_top1_standard,car,0.6380817987229569,0.8851102189610305,0.722432672585452,0.49845403911801345,0.7428012130664172,0.8524793259534378,0.795049630949351,0.888438566552901
e1,oracle_utility_top1_standard,van,0.37207942072445827,0.5059023703229687,0.4319701116966901,0.23900620344477527,0.4991085837100309,0.4616795318236871,0.5888773388773388,0.5736708860759494
e1,oracle_utility_top1_standard,truck,0.3337609976405657,0.4877373009150827,0.36049523718622656,0.17705901706638785,0.369333999940115,0.6482883577104146,0.5819295558958653,0.5066666666666667
e1,oracle_utility_top1_standard,tricycle,0.2374638269872463,0.40314758381768906,0.24172024010948812,0.19862499078532406,0.29965998227297924,0.39928427842784275,0.5160955347871236,0.4755980861244019
e1,oracle_utility_top1_standard,awning-tricycle,0.13367604214870865,0.20550353358502635,0.14700646383385896,0.11149200273179703,0.16640113716459826,0.2333333333333333,0.39660056657223797,0.2631578947368421
e1,oracle_utility_top1_standard,bus,0.511276835589951,0.7049919258699887,0.5822228768430401,0.3194992471977737,0.6009777426186499,0.8194215285586914,0.7912621359223301,0.649402390438247
e1,oracle_utility_top1_standard,motor,0.3248622409923894,0.6531316553579672,0.27922527057215335,0.29729275429316276,0.4338616405677698,0.24215464403583215,0.6348684210526315,0.6715104379860827
e1,proxy_top2_standard,pedestrian,0.3500431924704435,0.6914400925174004,0.2983510579769311,0.32272363114804764,0.5057051555466109,0.749416558152196,0.6349530420579829,0.7033016734509272
e1,proxy_top2_standard,people,0.2336171610237931,0.544828225544074,0.15316290671563407,0.22771364558698567,0.3076691785134671,0.35940594059405945,0.5973630831643002,0.5746341463414634
e1,proxy_top2_standard,bicycle,0.18302501480159097,0.36550193695459354,0.15485667278952284,0.14825508487888292,0.33382207602358044,0.3227722772277228,0.38085539714867617,0.4358974358974359
e1,proxy_top2_standard,car,0.644774347110627,0.8891057170301229,0.7261428695015907,0.503439202314613,0.7506174994248224,0.8510657020491127,0.7580077542499254,0.9035836177474402
e1,proxy_top2_standard,van,0.38472314456819334,0.5218375252768791,0.44828593614351864,0.25255464067658656,0.5112580940331966,0.45931567574253024,0.5395390872119296,0.6045569620253165
e1,proxy_top2_standard,truck,0.3459802093779214,0.5033099646642616,0.3787696472863555,0.1909980259910252,0.3879656854241492,0.6370416049140412,0.4947245017584994,0.5626666666666666
e1,proxy_top2_standard,tricycle,0.24119021470299895,0.4117554985589054,0.2473677410004419,0.20495719181608646,0.30224024817420725,0.39852539447190494,0.4568006843455945,0.5110047846889952
e1,proxy_top2_standard,awning-tricycle,0.14274918489340557,0.21917982952961798,0.15558474316322102,0.12070352858059748,0.17436330389103344,0.18712871287128707,0.3707093821510298,0.30451127819548873
e1,proxy_top2_standard,bus,0.5207218489835793,0.7104975936790606,0.5952449482001941,0.35460996025869973,0.5861259547675646,0.8195943723518377,0.7219917012448133,0.6932270916334662
e1,proxy_top2_standard,motor,0.32932237465884756,0.6624306140289202,0.2788055539936556,0.30287170221581994,0.43988363975627176,0.24215464403583215,0.5845842469219092,0.7093737208350389
e1,oracle_utility_top2_standard,pedestrian,0.3500467462670081,0.6900923440992641,0.3093589983940211,0.32360068614306,0.5060639341011366,0.7167616851094186,0.6893371757925072,0.676164631388512
e1,oracle_utility_top2_standard,people,0.23666255894996358,0.5496979685151953,0.15997036591313393,0.23092029718447302,0.31095159469750705,0.35940594059405945,0.6343804537521816,0.5674146341463414
e1,oracle_utility_top2_standard,bicycle,0.17655803295047304,0.3519115149513471,0.1531285352412813,0.1422038949391356,0.32415348540861194,0.3227722772277228,0.3973313565604151,0.41647241647241645
e1,oracle_utility_top2_standard,car,0.6416007689964139,0.88728678556589,0.7272259069995443,0.5030532811690303,0.7461324729357848,0.8540597324954152,0.7875696313450585,0.8946956769055745
e1,oracle_utility_top2_standard,van,0.3781780345679977,0.5104214770485521,0.4379438236108301,0.24385584638644753,0.5068557306210703,0.4661367534335827,0.5738354806739346,0.5863291139240506
e1,oracle_utility_top2_standard,truck,0.33959107078570727,0.4967744580114322,0.36879392709563014,0.18156415527390823,0.3796761832366578,0.6398343962333445,0.553072625698324,0.528
e1,oracle_utility_top2_standard,tricycle,0.24540265798720876,0.4132137186555189,0.2536530545904324,0.20230391209247034,0.3129570228968279,0.39753782477639243,0.5038986354775828,0.49473684210526314
