model,mode,class,AP50_95,AP50,AP75,AP_small,AP_medium,AP_large,Precision_conf025_iou05,Recall_conf025_iou05
e1,sliced,van,0.36382629592488136,0.49114462507872925,0.42407344906220107,0.24267661558655726,0.4912213437726707,0.3977999937403158,0.5894396551724138,0.5539240506329114
e1,sliced,truck,0.31488646280348187,0.4596341481761855,0.3392642253383332,0.18126144497451968,0.3697073735563695,0.4969096332390288,0.49163449163449163,0.5093333333333333
e1,sliced,tricycle,0.23117162334705105,0.39776085102544195,0.2326278097996148,0.1958045878906552,0.29045563538325925,0.374096185509733,0.48787878787878786,0.46220095693779906
e1,sliced,awning-tricycle,0.13505281909956415,0.20792776887863343,0.14687155285042866,0.11954736771944283,0.15727030734653594,0.1802070207020702,0.39436619718309857,0.2631578947368421
e1,sliced,bus,0.48448853854644375,0.6731573088474557,0.5633053008172282,0.34881323933132913,0.5415460343627044,0.7139024329954003,0.7397260273972602,0.6454183266932271
e1,sliced,motor,0.32534315401711345,0.6572469783719544,0.27623321719688815,0.2977625759386191,0.43102751382010446,0.15742574257425743,0.6367299942429476,0.6790830945558739
e1,combined,pedestrian,0.35470650107570423,0.698610387782896,0.30501350452161174,0.3274541494634383,0.5146969166914407,0.7372230420242186,0.6174768518518519,0.7238805970149254
e1,combined,people,0.2384920785135288,0.5541145524626018,0.15685589113571297,0.23265367418898736,0.3124350399013513,0.3541254125412541,0.5876667311038082,0.593170731707317
e1,combined,bicycle,0.18385202922749075,0.36719483299976113,0.15659621564832954,0.14822895537659628,0.3382251408265803,0.3227722772277228,0.3595092024539877,0.4553224553224553
e1,combined,car,0.645985573656139,0.8895321334786894,0.7278029677550603,0.5050991488340104,0.7525934419008437,0.8533341617443208,0.7508231420507996,0.9079920364050057
e1,combined,van,0.3903268711636738,0.5280034377017304,0.4513031707328759,0.2548313154155663,0.5221760711084894,0.4769081983804109,0.523645743766122,0.6167088607594937
e1,combined,truck,0.3485598280056749,0.5039718748243159,0.3804396054328163,0.1816267326701568,0.40054101658445396,0.6293099632107992,0.46688382193268185,0.5733333333333334
e1,combined,tricycle,0.24934472001859817,0.42017379813023925,0.2587108508019666,0.20399271426878002,0.3219926191590661,0.3926592929563227,0.4432,0.5301435406698565
e1,combined,awning-tricycle,0.1465836284326706,0.22430199548632399,0.16051518125664133,0.12043739151981056,0.17811060149178878,0.29137199434229133,0.35232067510548526,0.31390977443609025
e1,combined,bus,0.5232905755848339,0.719665740631223,0.6038290669265617,0.3640939062613148,0.5801143622095928,0.8153839149557834,0.6944444444444444,0.6972111553784861
e1,combined,motor,0.33482623545463125,0.6665434484922129,0.28655075649908324,0.30576519942899766,0.4508566999347032,0.2845848870601346,0.5709677419354838,0.7245190339746214
e5a,full,pedestrian,0.32384103127993286,0.6328346677950798,0.2879888509552098,0.29001331502922045,0.523025184029288,0.7364514705721973,0.6866275277234182,0.5950927182270466
e5a,full,people,0.21943130450452025,0.5001654548563197,0.14774573772290858,0.20964991511655082,0.31823622259570267,0.3410366525374342,0.6339688911189162,0.4930731707317073
e5a,full,bicycle,0.1541679909465022,0.3059590910535427,0.12877286236666702,0.11400104799838978,0.3255790853290427,0.28217821782178215,0.4585987261146497,0.3356643356643357
e5a,full,car,0.629641537357749,0.8701421685666392,0.7134370647432605,0.4785991324167579,0.7430739658772656,0.849144248577783,0.7868330408786638,0.8608503981797497
e5a,full,van,0.35786655785434723,0.4781490568975373,0.4143037923083704,0.2027041461227114,0.5079027142806878,0.4671694045367323,0.6083715596330275,0.5372151898734178
e5a,full,truck,0.3143978907685806,0.4500335645942786,0.3538369988419838,0.15287436113675468,0.358056538453084,0.6257883212517842,0.6206896551724138,0.456
e5a,full,tricycle,0.22354637769003022,0.3752024225310833,0.2310419305104224,0.17771065788387053,0.2882673429946594,0.5180423454433355,0.5082938388625592,0.4105263157894737
e5a,full,awning-tricycle,0.12102712478207919,0.18219417865232007,0.12939530670772414,0.10091226923813827,0.14755882696747055,0.2579407391288579,0.36666666666666664,0.2274436090225564
e5a,full,bus,0.490518144682038,0.6301454629116064,0.5773096691892707,0.27542214227047856,0.6025208624428738,0.846746832074461,0.7711442786069652,0.6175298804780877
e5a,full,motor,0.3098528406458431,0.6160671736868599,0.26691025001646335,0.27881181529159327,0.4385644368476642,0.45012466763917774,0.6219016659894352,0.6264838313548915
e5a,sliced,pedestrian,0.3456481079998663,0.6831671266680213,0.2937793453539218,0.3236969349548311,0.4851130440922276,0.5407033793071119,0.6788547775094861,0.6675712347354138
e5a,sliced,people,0.22933871509297968,0.5345781457583446,0.14904860313403925,0.22562491930394168,0.27287423959288726,0.018316831683168316,0.6678571428571428,0.5108292682926829
e5a,sliced,bicycle,0.17534615784131694,0.35827466756764914,0.14211801754906025,0.14991806070261038,0.2944893263878822,0.0,0.46698564593301434,0.3791763791763792
e5a,sliced,car,0.6354011125650723,0.8816597201632528,0.716971241795785,0.5011989526113758,0.7390361283197568,0.8090283843686871,0.7990328820116054,0.8811860068259386
e5a,sliced,van,0.36766945415878477,0.4966960839584539,0.42834392123719445,0.24841184858246343,0.4943105643972356,0.38393758782911597,0.593900481540931,0.5620253164556962
e5a,sliced,truck,0.30832415333029967,0.4564983505837629,0.33623601993206037,0.16759685114072795,0.3639534799084938,0.49817879552249206,0.5013123359580053,0.5093333333333333
e5a,sliced,tricycle,0.23342151448318696,0.4066397547904764,0.24370592126270696,0.2020387066595886,0.2901654047333357,0.27236248624862486,0.49337410805300713,0.4631578947368421
e5a,sliced,awning-tricycle,0.12159922450834199,0.19361022104864614,0.13146763774065887,0.10109770780454969,0.15630926716974317,0.27481071636575416,0.351010101010101,0.26127819548872183
e5a,sliced,bus,0.4847832073411507,0.663902825091917,0.5694343428935281,0.31510707401806565,0.5921709745643117,0.6801948902056816,0.7475247524752475,0.601593625498008
e5a,sliced,motor,0.32054405187003293,0.6526041297850942,0.27327090308695556,0.29768884467479806,0.4203778017619426,0.1618811881188119,0.6331744518589133,0.6796970937372083
e5a,combined,pedestrian,0.3544500345128747,0.6941236498445077,0.3059191648966031,0.32831303808430495,0.5147407455500819,0.7200983909757628,0.6245161290322581,0.7114427860696517
e5a,combined,people,0.24156316597203364,0.5549380973748695,0.1597380193337548,0.2336934493669155,0.31987438951651564,0.30766876687668765,0.6126556016597511,0.5761951219512195
e5a,combined,bicycle,0.18536159677576053,0.3687175458264112,0.15576989723155277,0.15149121233931612,0.3356303177518021,0.28217821782178215,0.4008409250175193,0.4444444444444444
e5a,combined,car,0.6427886076871959,0.8874942593695692,0.7250754347576356,0.5034331832612098,0.7480573129776169,0.8489430426309552,0.752603550295858,0.9043657565415245
e5a,combined,van,0.3957804853432921,0.5328585175266818,0.45703879391951724,0.2599711012625711,0.5318317567447767,0.4712082178480665,0.5355739851593191,0.6212658227848101
e5a,combined,truck,0.33633607564110224,0.48407193711321994,0.37433420701769143,0.17924872181614498,0.3843535241999144,0.6157066857228154,0.46799116997792495,0.5653333333333334
e5a,combined,tricycle,0.2565627774594533,0.43411262282034657,0.2723595903486938,0.21473320861008174,0.31659571208299264,0.4687810492100255,0.4406099518459069,0.5253588516746411
e5a,combined,awning-tricycle,0.1399094201791057,0.21381873941657425,0.14928521284290597,0.1148430951450882,0.1735082228477137,0.2577274870344177,0.32122370936902483,0.3157894736842105
e5a,combined,bus,0.5379664634955401,0.7158781119741976,0.6339533457838713,0.35865754848381876,0.6262568001099699,0.832909942260626,0.6947791164658634,0.6892430278884463
e5a,combined,motor,0.3325518260394696,0.665341736136891,0.2876812620907871,0.3052407216275821,0.4492042374550829,0.4541540820748741,0.5681565134404326,0.7310683585755219
