outcome,min_cell_per_group,eligible_strata,total_strata,missing_total,present_total,missing_in_common_support,present_in_common_support,missing_coverage,present_coverage,overlap_weight_sum,weighted_missing_mean,weighted_present_mean,adjusted_difference_missing_minus_present,model,scheme,strata
tal_preconflict_total,20,76,889,8849,17737,4792,7149,0.5415301163973331,0.40305575914754466,2450.7734109552844,7.7290862817740065,8.176870074693444,-0.44778379291943704,E16a,fine_class_side2_nnlog2,class|side2_bin|nnlog2_bin
tal_final_total,20,76,889,8849,17737,4792,7149,0.5415301163973331,0.40305575914754466,2450.7734109552844,6.784871028731091,7.597052158426842,-0.8121811296957508,E16a,fine_class_side2_nnlog2,class|side2_bin|nnlog2_bin
zero_final_positive,20,76,889,8849,17737,4792,7149,0.5415301163973331,0.40305575914754466,2450.7734109552844,0.011750743620031538,0.0004758872643466275,0.01127485635568491,E16a,fine_class_side2_nnlog2,class|side2_bin|nnlog2_bin
conflict_loss_fraction,20,76,889,8849,17737,4792,7149,0.5415301163973331,0.40305575914754466,2450.7734109552844,0.13028107162487343,0.07488878603225257,0.055392285592620855,E16a,fine_class_side2_nnlog2,class|side2_bin|nnlog2_bin
target_weight_mean,20,76,889,8849,17737,4792,7149,0.5415301163973331,0.40305575914754466,2450.7734109552844,0.32056808355673005,0.4832860101430599,-0.16271792658632983,E16a,fine_class_side2_nnlog2,class|side2_bin|nnlog2_bin
target_weight_max,20,76,889,8849,17737,4792,7149,0.5415301163973331,0.40305575914754466,2450.7734109552844,0.6246794872991298,0.8276479383727795,-0.2029684510736497,E16a,fine_class_side2_nnlog2,class|side2_bin|nnlog2_bin
p2_final_share,20,76,889,8849,17737,4792,7149,0.5415301163973331,0.40305575914754466,2450.7734109552844,0.7842833117912077,0.7963567401490508,-0.012073428357843086,E16a,fine_class_side2_nnlog2,class|side2_bin|nnlog2_bin
in_gt_P2,20,76,889,8849,17737,4792,7149,0.5415301163973331,0.40305575914754466,2450.7734109552844,8.377759395528782,9.52454362512933,-1.1467842296005468,E16a,fine_class_side2_nnlog2,class|side2_bin|nnlog2_bin
tal_preconflict_P2,20,76,889,8849,17737,4792,7149,0.5415301163973331,0.40305575914754466,2450.7734109552844,6.151587298989542,6.535872789013125,-0.3842854900235837,E16a,fine_class_side2_nnlog2,class|side2_bin|nnlog2_bin
tal_final_P2,20,76,889,8849,17737,4792,7149,0.5415301163973331,0.40305575914754466,2450.7734109552844,5.425862724889983,6.126131622279132,-0.7002688973891491,E16a,fine_class_side2_nnlog2,class|side2_bin|nnlog2_bin
in_gt_P3,20,76,889,8849,17737,4792,7149,0.5415301163973331,0.40305575914754466,2450.7734109552844,2.101490479392674,2.3717867214902593,-0.2702962420975852,E16a,fine_class_side2_nnlog2,class|side2_bin|nnlog2_bin
tal_preconflict_P3,20,76,889,8849,17737,4792,7149,0.5415301163973331,0.40305575914754466,2450.7734109552844,1.2556288601719836,1.329647942841329,-0.07401908266934543,E16a,fine_class_side2_nnlog2,class|side2_bin|nnlog2_bin
tal_final_P3,20,76,889,8849,17737,4792,7149,0.5415301163973331,0.40305575914754466,2450.7734109552844,1.0807277986691826,1.1947866352360441,-0.11405883656686155,E16a,fine_class_side2_nnlog2,class|side2_bin|nnlog2_bin
in_gt_P4,20,76,889,8849,17737,4792,7149,0.5415301163973331,0.40305575914754466,2450.7734109552844,0.5370158758777119,0.5823752623154993,-0.04535938643778736,E16a,fine_class_side2_nnlog2,class|side2_bin|nnlog2_bin
tal_preconflict_P4,20,76,889,8849,17737,4792,7149,0.5415301163973331,0.40305575914754466,2450.7734109552844,0.26285335388963227,0.25732019147254737,0.0055331624170849025,E16a,fine_class_side2_nnlog2,class|side2_bin|nnlog2_bin
tal_final_P4,20,76,889,8849,17737,4792,7149,0.5415301163973331,0.40305575914754466,2450.7734109552844,0.2249860581750751,0.22712401942909208,-0.002137961254016968,E16a,fine_class_side2_nnlog2,class|side2_bin|nnlog2_bin
in_gt_P5,20,76,889,8849,17737,4792,7149,0.5415301163973331,0.40305575914754466,2450.7734109552844,0.12392324376348253,0.14957085123105843,-0.025647607467575897,E16a,fine_class_side2_nnlog2,class|side2_bin|nnlog2_bin
tal_preconflict_P5,20,76,889,8849,17737,4792,7149,0.5415301163973331,0.40305575914754466,2450.7734109552844,0.059016768722852116,0.054029151366443054,0.004987617356409062,E16a,fine_class_side2_nnlog2,class|side2_bin|nnlog2_bin
tal_final_P5,20,76,889,8849,17737,4792,7149,0.5415301163973331,0.40305575914754466,2450.7734109552844,0.05329444699685168,0.04900988148257597,0.004284565514275709,E16a,fine_class_side2_nnlog2,class|side2_bin|nnlog2_bin
in_gt_total,5,174,506,8849,17737,7392,17000,0.8353486269634987,0.9584484411118002,3966.857350600033,16.226209090519887,17.579704058639585,-1.3534949681196977,E16a,eligibility_controlled,class|size_bin|density_bin|in_gt_cap10
