model,class,size_bin,density_bin,raw075_group,n,best_raw_iou,best_raw_iou_P2,in_gt_total,in_gt_cap10,zero_in_gt,tal_preconflict_total,tal_final_total,zero_final_positive,conflict_loss_fraction,target_weight_mean,target_weight_max,p2_final_share,in_gt_P2,tal_preconflict_P2,tal_final_P2,in_gt_P3,tal_preconflict_P3,tal_final_P3,in_gt_P4,tal_preconflict_P4,tal_final_P4,in_gt_P5,tal_preconflict_P5,tal_final_P5
E10a,awning-tricycle,8-16,sparse,missing,2,0.7229628562927246,0.7229628562927246,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.36275553703308105,0.7204647958278656,0.7619047619047619,6.0,6.0,6.0,1.5,1.5,1.5,0.5,0.5,0.5,0.0,0.0,0.0
E10a,awning-tricycle,8-16,sparse,present,10,0.8276466071605683,0.8112060487270355,11.2,8.6,0.0,8.6,8.6,0.0,0.0,0.5110365599393845,0.8179364204406738,0.7423809523809524,8.6,6.4,6.4,2.2,2.0,2.0,0.4,0.2,0.2,0.0,0.0,0.0
E10a,bicycle,0-8,dense,missing,38,0.514076682297807,0.4990762487838143,2.3157894736842106,2.3157894736842106,0.05263157894736842,2.289473684210526,1.3157894736842106,0.2894736842105263,0.4203042328042328,0.4047852898085559,0.5187955769123854,0.8981481481481481,1.9473684210526316,1.9210526315789473,1.131578947368421,0.2631578947368421,0.2631578947368421,0.15789473684210525,0.02631578947368421,0.02631578947368421,0.0,0.07894736842105263,0.07894736842105263,0.02631578947368421
E10a,bicycle,0-8,dense,present,4,0.782105416059494,0.782105416059494,3.5,3.5,0.0,3.5,2.5,0.0,0.29166666666666663,0.511681042611599,0.7805653065443039,0.825,2.5,2.5,2.0,0.75,0.75,0.5,0.0,0.0,0.0,0.25,0.25,0.0
E10a,bicycle,0-8,middle,missing,4,0.5434747040271759,0.5434747040271759,3.5,3.5,0.0,3.0,3.0,0.25,0.0,0.31851919492085773,0.5882260203361511,0.9166666666666666,3.25,2.75,2.75,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
E10a,bicycle,0-8,sparse,missing,3,0.6099480191866556,0.6099480191866556,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.3779501716295878,0.6012406150499979,0.7999999999999999,3.0,3.0,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
E10a,bicycle,16-24,dense,missing,51,0.6204308657085195,0.6091769659051708,18.0,9.882352941176471,0.0,9.843137254901961,7.078431372549019,0.0,0.2869281045751634,0.2692871108358981,0.6053763505290536,0.6888032990974168,13.941176470588236,7.1568627450980395,4.96078431372549,3.1372549019607843,2.156862745098039,1.6666666666666667,0.7843137254901961,0.5098039215686274,0.43137254901960786,0.13725490196078433,0.0196078431372549,0.0196078431372549
E10a,bicycle,16-24,dense,present,48,0.8274297130604585,0.8078723003466924,18.479166666666668,9.916666666666666,0.0,9.916666666666666,8.1875,0.0,0.1729166666666667,0.39400588255375624,0.8150928591688474,0.6613425925925925,13.604166666666666,6.770833333333333,5.4375,3.7708333333333335,2.5416666666666665,2.2083333333333335,0.8333333333333334,0.5416666666666666,0.4791666666666667,0.2708333333333333,0.0625,0.0625
E10a,bicycle,16-24,middle,missing,79,0.6645807612545883,0.6535094421875628,19.189873417721518,9.962025316455696,0.0,9.962025316455696,9.544303797468354,0.0,0.04177215189873418,0.27317969260525093,0.6508645713329315,0.7633463934096845,14.405063291139241,7.620253164556962,7.2784810126582276,3.6582278481012658,1.9240506329113924,1.8481012658227849,0.8860759493670886,0.379746835443038,0.379746835443038,0.24050632911392406,0.0379746835443038,0.0379746835443038
E10a,bicycle,16-24,middle,present,134,0.8361647876340952,0.8201473795655948,21.582089552238806,9.917910447761194,0.0,9.917910447761194,9.694029850746269,0.0,0.022844112769485905,0.43101894166042554,0.8259458524077686,0.7182717365553186,16.261194029850746,7.156716417910448,6.977611940298507,3.985074626865672,2.283582089552239,2.2388059701492535,1.007462686567164,0.39552238805970147,0.39552238805970147,0.3283582089552239,0.08208955223880597,0.08208955223880597
