model,class_id,class_name,images_with_class_weight,AP50_95_percent,AP50_percent,AP75_percent
e16a,2,people,482,22.55395018870356,52.43227820479475,15.053990505604403
e16a,3,bicycle,364,16.310239910346272,32.884370404227745,14.248010992117926
e16a,4,car,515,63.66316723867234,88.2202937936407,72.3767689093306
e16a,5,van,421,35.06638369971819,47.69372828255107,40.4171057205332
e16a,6,truck,265,31.99932723449107,46.98207243691684,35.24381051768205
e16a,7,tricycle,337,20.978444811922465,35.94745505651499,21.988853649991125
e16a,8,awning-tricycle,219,12.575905833200657,19.236512487930774,14.03923140728651
e16a,9,bus,130,50.033257799996235,64.79383633706016,57.678980986479125
e16a,10,motor,485,31.961746581981565,64.16016006903294,27.660199526279754
e10a,1,pedestrian,520,32.99928539575236,65.76893755301536,28.107737892921246
e10a,2,people,482,22.437910533097984,52.213572374106775,14.747836402212064
e10a,3,bicycle,364,15.755722145620942,31.64340064882071,13.113196807432672
e10a,4,car,515,63.48346002659891,87.89014677772067,71.98299551111155
e10a,5,van,421,34.40338558922592,46.77420336945661,39.351359640977016
e10a,6,truck,265,31.618319994938524,45.788797080502654,34.61983936289266
e10a,7,tricycle,337,23.034288081616026,38.80269195388964,25.042224500587896
e10a,8,awning-tricycle,219,12.261447074131635,18.96984478637249,13.61801327765729
e10a,9,bus,130,51.67302504558139,67.6669266380934,61.610599264469435
e10a,10,motor,485,31.758170128988002,64.28295937804542,27.597482936047147
e5a,1,pedestrian,520,33.0784371580295,65.4412741200245,29.208619405612623
e5a,2,people,482,22.046534291619913,51.030555827536325,14.566513475520399
e5a,3,bicycle,364,15.53485242756425,31.424871542317973,12.851203055205767
e5a,4,car,515,63.73503418682202,88.32120849377843,72.30988836122981
e5a,5,van,421,35.771778958045985,48.109130993628376,41.42191963198223
e5a,6,truck,265,31.69784096994119,45.763429647973766,35.61861260752083
e5a,7,tricycle,337,22.424087647628674,38.120938866933294,23.235004999963067
e5a,8,awning-tricycle,219,12.04897525242271,18.398934127380404,12.854466193031055
e5a,9,bus,130,50.242746950407295,65.00688014663683,59.25309177830977
e5a,10,motor,485,31.597579986005474,63.6004577574353,26.98879451468741
e10clean,1,pedestrian,520,32.93306572359322,65.74851375005733,28.45059661474859
e10clean,2,people,482,22.243418283647422,51.20149462584398,14.73161650221036
e10clean,3,bicycle,364,16.12325210768994,32.67883342768077,13.609465076884831
e10clean,4,car,515,63.64592399661359,88.2851787984656,72.31362268106687
e10clean,5,van,421,35.079813806889874,48.00677034539755,40.09751125243925
e10clean,6,truck,265,31.33941284062248,45.1107968639416,34.974760964082385
e10clean,7,tricycle,337,22.241131257271356,38.32961996745603,23.133573402813248
e10clean,8,awning-tricycle,219,11.412826840299271,17.6600122851865,12.70821658085047
e10clean,9,bus,130,49.536407597107896,64.64924946060296,58.35846075483746
e10clean,10,motor,485,32.23021174393146,65.36800653804558,27.325825210142895
e26a,1,pedestrian,520,33.00942534615946,65.7738649762727,28.86090387393222
e26a,2,people,482,22.245350773172433,51.878391134049515,14.601950877560524
e26a,3,bicycle,364,15.82679402185168,32.12196149170096,13.316272158898359
e26a,4,car,515,63.321395360041734,87.99924895036969,71.82201952171867
e26a,5,van,421,35.267589731814056,47.9839516078903,40.94915563643925
e26a,6,truck,265,30.83550336169561,45.55973534915523,34.449857927061025
e26a,7,tricycle,337,22.48980707746682,38.363065426594744,23.62532025938689
e26a,8,awning-tricycle,219,12.143895681843263,18.71091270145421,13.602308428598036
e26a,9,bus,130,50.84733011250336,66.63945163775813,59.24369391854623
e26a,10,motor,485,31.63702671916339,64.60666287674182,26.985156470626535
e9b,1,pedestrian,520,33.21598572547728,66.04713374527385,28.896881295132204
e9b,2,people,482,22.192280084485095,51.42930587399926,14.863864753108686
e9b,3,bicycle,364,15.78830942282516,31.732226615875504,12.91665727142228
e9b,4,car,515,63.48937886223698,88.06516388576473,71.88535493526483
e9b,5,van,421,35.24843617599747,47.89870032339522,40.850067547408266
e9b,6,truck,265,30.538452486987467,44.64087782713671,33.9942123726329
e9b,7,tricycle,337,21.747653739875034,37.41135762268976,22.63652560367989
e9b,8,awning-tricycle,219,11.894979908704329,18.58035820915293,12.858644905337343
e9b,9,bus,130,50.917098078728216,66.70254021218057,58.1043964593702
e9b,10,motor,485,31.99052585600497,64.6846513260848,27.547903273746897
e8b,1,pedestrian,520,33.08527410959312,65.58798391387974,28.788903030071104
e8b,2,people,482,22.589413508614136,51.94087512893666,15.209634003785649
e8b,3,bicycle,364,15.334307473190435,31.443357709551805,12.320421577124165
e8b,4,car,515,63.650394723006265,88.19091296728554,72.00462019742551
e8b,5,van,421,35.21522980506628,47.789469224090176,40.789240278708746
e8b,6,truck,265,31.24955104991639,45.75718338923252,34.888035050675924
e8b,7,tricycle,337,22.766105537337697,38.359232107962896,24.298535260250404
e8b,8,awning-tricycle,219,12.256918979231285,19.235298759161385,13.231621128348653
e8b,9,bus,130,48.01630006622039,63.12649879100305,56.356600211861064
