model,match_type,scale,metric,n,mean,std,median,p25,p75,p90,min,max
REF,oracle_best_same_class_nonexclusive,medium,abs_log_h_ratio,11065,0.09228932267276349,0.16287974037690015,0.043211742691335556,0.01815902927926092,0.0963492257627853,0.2034591544171302,7.2923757823630784e-06,2.1320161699513105
REF,oracle_best_same_class_nonexclusive,medium,log_w_ratio,11065,-0.008721550297335838,0.21102928037043206,0.0043036505938065656,-0.040032872257782647,0.04321263868060529,0.11572943939488842,-2.336689443038459,2.0500045061931367
REF,oracle_best_same_class_nonexclusive,medium,log_h_ratio,11065,0.00398923277321669,0.18716627614643871,0.004489255474372264,-0.040206200964621616,0.04568505163201372,0.11700614925310218,-2.1320161699513105,1.9636681535283032
REF,oracle_best_same_class_nonexclusive,medium,abs_left_error_over_w,11065,0.5028057570572465,2.4276776617400353,0.024088871495201572,0.009878900192765123,0.0639594660843713,0.20152400479772428,0.0,39.060619467435544
REF,oracle_best_same_class_nonexclusive,medium,abs_right_error_over_w,11065,0.502987955123007,2.4183987358972123,0.025443239107671496,0.010050471948008845,0.06488470203445948,0.19147773357369946,0.0,37.870418635770754
REF,oracle_best_same_class_nonexclusive,medium,abs_top_error_over_h,11065,0.3013649950810616,1.4069722592700853,0.02480307645549599,0.010336284005638473,0.06092444213465547,0.17772845917751143,0.0,32.430812176798106
REF,oracle_best_same_class_nonexclusive,medium,abs_bottom_error_over_h,11065,0.3353029197869265,1.5633381287645551,0.02842606059048459,0.012453263082056704,0.06611545200272471,0.1816575078705503,0.0,38.556228483996335
REF,oracle_best_same_class_nonexclusive,medium,left_error_over_w,11065,-0.04554782240735893,2.4787815261768076,0.001300227546831862,-0.022223074815740186,0.02622757317132564,0.09213955085029127,-39.060619467435544,32.82491305819373
REF,oracle_best_same_class_nonexclusive,medium,right_error_over_w,11065,-0.032461386120230674,2.469938377206851,0.0065914596083114915,-0.015551408999877234,0.03220047236800192,0.08613143406501453,-37.870418635770754,32.881909028225635
REF,oracle_best_same_class_nonexclusive,medium,top_error_over_h,11065,0.0007210816820557795,1.4388854293017859,-0.0017592672595336484,-0.026739817511302003,0.023152108576379126,0.07461282556597319,-23.497192715783033,32.430812176798106
REF,oracle_best_same_class_nonexclusive,medium,bottom_error_over_h,11065,0.0239930451246463,1.5987115082629342,0.0020104538531209915,-0.02556367571792088,0.03101152840736185,0.08243066030232733,-23.936328055871893,38.556228483996335
REF,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.50,11105,0.9095002251238181,,,,,,,
REF,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.55,11105,0.9035569563259793,,,,,,,
REF,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.60,11105,0.8942818550202611,,,,,,,
REF,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.65,11105,0.8746510580819451,,,,,,,
REF,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.70,11105,0.8443944169293112,,,,,,,
REF,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.75,11105,0.7924358397118415,,,,,,,
REF,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.80,11105,0.7102206213417379,,,,,,,
REF,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.85,11105,0.5824403421882035,,,,,,,
REF,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.90,11105,0.3887438090950022,,,,,,,
REF,oracle_best_same_class_nonexclusive,medium,fraction_iou_ge_0.95,11105,0.11715443493921657,,,,,,,
REF,oracle_best_same_class_nonexclusive,large,best_iou,1068,0.8614206255006465,0.23957554247526716,0.944190127540284,0.8952045240625445,0.9652519171482266,0.9764086293123637,0.0,0.9941207132596908
REF,oracle_best_same_class_nonexclusive,large,score,1064,0.8057236706501457,0.21234041033340734,0.8903241753578186,0.8285184353590012,0.9113267809152603,0.9199628055095672,0.0012701215455308557,0.9726373553276062
REF,oracle_best_same_class_nonexclusive,large,abs_center_dx_over_w,1064,0.17388034741782757,0.847886351979175,0.007937404225001742,0.003290858659617867,0.01981016968873167,0.06438268561440477,4.260047015720543e-06,10.105794411354006
REF,oracle_best_same_class_nonexclusive,large,abs_center_dy_over_h,1064,0.16592671554919458,0.7726947748100362,0.009222832107623976,0.004207331208756207,0.021968637150160703,0.07454212841269499,7.84782992920949e-05,10.355748389169326
REF,oracle_best_same_class_nonexclusive,large,center_dx_over_w,1064,0.008995784503489571,0.8654852494132205,0.0011313038999887345,-0.0065276462701394835,0.00935425511374272,0.027411144251443673,-10.105794411354006,7.534673160101785
REF,oracle_best_same_class_nonexclusive,large,center_dy_over_h,1064,-0.11354965992855494,0.782109560535981,0.0001963899474050417,-0.00914359648175178,0.009414549517742895,0.025037724274261732,-10.355748389169326,4.219017261130694
REF,oracle_best_same_class_nonexclusive,large,abs_log_w_ratio,1064,0.07019295745083876,0.20859911132959277,0.0177055588760586,0.007039174272375592,0.04106568873595183,0.11940504847938374,4.074027238319549e-05,2.057061381057138
REF,oracle_best_same_class_nonexclusive,large,abs_log_h_ratio,1064,0.07576044723109718,0.1995409412584809,0.02020295959785266,0.008165978322344673,0.047428667117194914,0.1434816642705061,4.468669739224868e-05,1.9502014226966096
REF,oracle_best_same_class_nonexclusive,large,log_w_ratio,1064,-0.0339099129062347,0.21746438404916488,0.0030341600849242384,-0.013956782570585306,0.01975835775163808,0.04786333498770455,-2.057061381057138,0.6519525425352918
REF,oracle_best_same_class_nonexclusive,large,log_h_ratio,1064,-0.034333412694665034,0.2106595579975288,0.002212370991081611,-0.018893665698258136,0.021507552563825843,0.053528639549320765,-1.9502014226966096,0.5565431610479543
REF,oracle_best_same_class_nonexclusive,large,abs_left_error_over_w,1064,0.17777467270071137,0.860219253557558,0.010218900835713888,0.00420085101659122,0.025342342482085514,0.08297652116320152,0.0,10.147526363899768
REF,oracle_best_same_class_nonexclusive,large,abs_right_error_over_w,1064,0.17993321762202066,0.8389542375008883,0.010899392560473347,0.0043143263154196785,0.02300766073284193,0.09055241734307282,0.0,10.064062458808246
REF,oracle_best_same_class_nonexclusive,large,abs_top_error_over_h,1064,0.15934853915333805,0.7347498923734449,0.012324409989367636,0.005437393932744285,0.02574117063917694,0.08058104872651754,0.0,9.995400218900572
REF,oracle_best_same_class_nonexclusive,large,abs_bottom_error_over_h,1064,0.18325671461382803,0.8125417270598518,0.012502576560546545,0.004204384660968536,0.029603517643752807,0.11398497866959695,0.0,10.716096559438078
REF,oracle_best_same_class_nonexclusive,large,left_error_over_w,1064,0.017434649866715748,0.8782237934769203,-0.0006557420381738818,-0.010509014981039979,0.009255502698255152,0.02940089162977691,-10.147526363899768,7.8963366327401765
REF,oracle_best_same_class_nonexclusive,large,right_error_over_w,1064,0.0005569191402633977,0.8580325548984615,0.0033715384444434225,-0.00568435876027499,0.014630168501748064,0.033917610074083816,-10.064062458808246,7.173009687463393
REF,oracle_best_same_class_nonexclusive,large,top_error_over_h,1064,-0.1046894900377039,0.7445061933582132,-0.0023713893071076447,-0.014666436751943398,0.009950656859001976,0.025729019978181233,-9.995400218900572,4.4595572788852404
REF,oracle_best_same_class_nonexclusive,large,bottom_error_over_h,1064,-0.12240982981940593,0.8239071035183789,3.662391456565792e-06,-0.010335759678506789,0.01486766598673922,0.03725805776210924,-10.716096559438078,3.978477243376148
REF,oracle_best_same_class_nonexclusive,large,fraction_iou_ge_0.50,1068,0.9269662921348315,,,,,,,
REF,oracle_best_same_class_nonexclusive,large,fraction_iou_ge_0.55,1068,0.9269662921348315,,,,,,,
REF,oracle_best_same_class_nonexclusive,large,fraction_iou_ge_0.60,1068,0.9232209737827716,,,,,,,
REF,oracle_best_same_class_nonexclusive,large,fraction_iou_ge_0.65,1068,0.9157303370786517,,,,,,,
REF,oracle_best_same_class_nonexclusive,large,fraction_iou_ge_0.70,1068,0.9063670411985019,,,,,,,
REF,oracle_best_same_class_nonexclusive,large,fraction_iou_ge_0.75,1068,0.8885767790262172,,,,,,,
REF,oracle_best_same_class_nonexclusive,large,fraction_iou_ge_0.80,1068,0.8698501872659176,,,,,,,
REF,oracle_best_same_class_nonexclusive,large,fraction_iou_ge_0.85,1068,0.8267790262172284,,,,,,,
REF,oracle_best_same_class_nonexclusive,large,fraction_iou_ge_0.90,1068,0.7368913857677902,,,,,,,
REF,oracle_best_same_class_nonexclusive,large,fraction_iou_ge_0.95,1068,0.4410112359550562,,,,,,,
A,oracle_best_same_class_nonexclusive,small,best_iou,26586,0.6305538539895896,0.28117716010490207,0.7305808955156521,0.5698423205371203,0.8199812869998324,0.878649494215409,0.0,0.9893263452642662
A,oracle_best_same_class_nonexclusive,small,score,26520,0.41891303915226413,0.27663123772946774,0.46393610537052155,0.13086944073438644,0.6685975790023804,0.7639181971549989,0.0010112295858561993,0.9376164674758911
A,oracle_best_same_class_nonexclusive,small,abs_center_dx_over_w,26520,4.051387779127357,16.995001025706795,0.05847839147029426,0.024342556344268153,0.1376741420188399,4.296955902085445,1.4474005301101144e-05,329.6516957310657
A,oracle_best_same_class_nonexclusive,small,abs_center_dy_over_h,26520,1.9403209841305573,7.8982253855599485,0.04845963292082579,0.020206844028373118,0.11719420493324356,2.025059894207147,3.6470965588844627e-06,176.96560556774904
A,oracle_best_same_class_nonexclusive,small,center_dx_over_w,26520,0.4176737143495218,17.466234610498596,0.01537889929487719,-0.03881476012901591,0.07431973270002196,0.20974840171098164,-329.6516957310657,328.2231802909521
A,oracle_best_same_class_nonexclusive,small,center_dy_over_h,26520,1.6990155789592023,7.9536253259136425,0.009931729725781942,-0.033090196041665264,0.06721752560381636,0.7052280407703923,-57.099200833774894,176.96560556774904
