model,iou,n_small_gt,raw_geometry_rate,raw_gtclass_above_conf_rate,raw_correct_argmax_rate,nms1000_sameclass_rate,top500_sameclass_rate,raw_geometry_P2_rate,raw_correct_P2_rate,raw_geometry_P3_rate,raw_correct_P3_rate,raw_geometry_P4_rate,raw_correct_P4_rate,raw_geometry_P5_rate,raw_correct_P5_rate
E16a,0.5,26586,0.9497479876626796,0.9305273452192884,0.8431505303543219,0.822726246896863,0.7960956894606184,0.942262845106447,0.8222748815165877,0.7883848642142481,0.6370646204769428,0.5080869630632664,0.21759572707440006,0.06368013240051154,0.023696682464454975
E16a,0.55,26586,0.9236440231700895,0.9037463326562852,0.8170841796434214,0.7903031670804183,0.764312043932897,0.9142781915293764,0.7956067102986534,0.7364778454825848,0.6015572105619499,0.4516286767471602,0.19521552696908148,0.04445948995712029,0.01782893252087565
E16a,0.6,26586,0.8884375235086136,0.8671105092906041,0.7823666591439103,0.7450914014895057,0.7189122094335364,0.8754607688256978,0.7595350936583164,0.6716692996313849,0.5556683969006244,0.3943805010155721,0.16888587978635372,0.028812156774242082,0.012337320394192433
E16a,0.65,26586,0.8367185736853984,0.8138870081998044,0.7343714737079666,0.6803580832016851,0.6563981042654028,0.8187391860377642,0.7084931919055142,0.5997517490408486,0.49973670352817273,0.33754607688256977,0.14281952907545326,0.01779131873918604,0.008312645753404048
E16a,0.7,26586,0.7662679605807567,0.7427593470247499,0.669826224328594,0.5892951177311367,0.569246972090574,0.7415180922289927,0.6416158880613857,0.516926201760325,0.43285939968404424,0.2761603851651245,0.11201384187166177,0.010306176182953434,0.005002632964718273
E16a,0.75,26586,0.6671556458286316,0.6396599714135259,0.5766192733017378,0.4653577070638682,0.45155344918378093,0.6345068833220492,0.5445723313021891,0.4177386594448206,0.351839313924622,0.2122921838561649,0.08267509215376515,0.004626495147822162,0.0024072820281351086
E16a,0.8,26586,0.533551493267133,0.5028586474084105,0.455803806514707,0.31576769728428494,0.30783118934777703,0.4986082900774844,0.4231926577898142,0.30497254193936657,0.2554351914541488,0.14823591363875724,0.052734521928834724,0.0017678477394117206,0.0009027307605506658
E16a,0.85,26586,0.3675618746708794,0.3316407131573008,0.2999699089746483,0.16975099676521477,0.167118032046942,0.33307003686150605,0.27089445572857895,0.19194312796208532,0.1568870834273678,0.08579703603400286,0.027834198450312195,0.0004889791619649439,0.00022568269013766644
E16a,0.9,26586,0.18220115850447605,0.15030467163168584,0.1369141653501843,0.05924170616113744,0.05886556834424133,0.15873015873015872,0.118182502068758,0.08222372677348981,0.06447002181599339,0.033438651922064244,0.009930038366057324,7.522756337922214e-05,3.761378168961107e-05
E16a,0.95,26586,0.0353193410065448,0.02520123373203942,0.02313247573911081,0.005416384563303994,0.005416384563303994,0.028135108703829084,0.01820507033777176,0.012412547957571655,0.008839238697058603,0.0036485368238922742,0.0012412547957571655,0.0,0.0
E21a,0.5,26586,0.9510268562401264,0.9324832618671481,0.8433762130444595,0.8227638606785527,0.7975626269465133,0.9441435341909276,0.8223124952982773,0.7911682840592793,0.640901226209283,0.5114722034153314,0.2170691341307455,0.05747385842172572,0.02317008952080042
E21a,0.55,26586,0.9252990295644324,0.905514180395697,0.8176860001504551,0.7918453321296923,0.7667945535244114,0.9154066049800647,0.796133303242308,0.7377943278417212,0.6033250583013616,0.45230572481757314,0.1922816519972918,0.03979538102760852,0.016963815542014593
E21a,0.6,26586,0.8903182125930941,0.8686150605581885,0.7842097344467013,0.7472730008275031,0.7234258632362898,0.876589182276386,0.7613405551794178,0.6737380576243136,0.5554803279921763,0.3934401564733318,0.16621530128639134,0.026856240126382307,0.012036410140675543
