model,iou,size_bin,n,top500_survival_rate,failed,raw_geometry_missing,raw_geometry_missing_rate_all,raw_geometry_missing_share_failed,confidence_floor,confidence_floor_rate_all,confidence_floor_share_failed,class_argmax_confusion,class_argmax_confusion_rate_all,class_argmax_confusion_share_failed,nms_suppression,nms_suppression_rate_all,nms_suppression_share_failed,rank_budget_501_1000,rank_budget_501_1000_rate_all,rank_budget_501_1000_share_failed,survives_top500,survives_top500_rate_all,survives_top500_share_failed,class_selection_share_failed
E16a,0.75,16-24,8596,0.541763610981852,3939,1734,0.20172173103769195,0.44021325209444023,294,0.03420195439739414,0.07463823305407463,599,0.069683573755235,0.15206905305915208,1157,0.1345974872033504,0.29372937293729373,155,0.018031642624476502,0.03935008885503935,4657,0.541763610981852,1.1822797664381823,0.2267072861132267
E16a,0.75,24-32,6035,0.6470588235294118,2130,674,0.11168185584092792,0.3164319248826291,283,0.04689312344656172,0.13286384976525822,387,0.06412593206296603,0.18169014084507043,680,0.11267605633802817,0.3192488262910798,106,0.01756420878210439,0.04976525821596244,3905,0.6470588235294118,1.8333333333333333,0.3145539906103286
E16a,0.75,8-16,9532,0.33266890474192196,6361,4466,0.46852706672261857,0.7020908662160038,141,0.014792278640369283,0.02216632604936331,625,0.0655686109945447,0.09825499135356076,1037,0.10879143936214855,0.16302468165382802,92,0.009651699538396978,0.014463134727244144,3171,0.33266890474192196,0.4985065241314259,0.12042131740292407
E21a,0.5,0-8,2423,0.5431283532810566,1107,664,0.27404044572843583,0.5998193315266486,56,0.02311184482047049,0.05058717253839205,283,0.11679735864630623,0.25564588979223124,59,0.024349979364424266,0.053297199638663056,45,0.018572018159306643,0.04065040650406504,1316,0.5431283532810566,1.1887985546522133,0.3062330623306233
E21a,0.5,16-24,8596,0.8607491856677525,1197,76,0.008841321544904607,0.06349206349206349,118,0.013727315030246627,0.0985797827903091,633,0.07363890181479758,0.5288220551378446,151,0.017566309911586784,0.1261487050960735,219,0.025476966030711957,0.18295739348370926,7399,0.8607491856677525,6.181286549707602,0.6274018379281537
E21a,0.5,24-32,6035,0.8714167357083679,776,16,0.002651201325600663,0.020618556701030927,134,0.02220381110190555,0.17268041237113402,381,0.06313173156586578,0.49097938144329895,97,0.016072908036454017,0.125,148,0.024523612261806133,0.19072164948453607,5259,0.8714167357083679,6.777061855670103,0.663659793814433
E21a,0.5,8-16,9532,0.758497691984893,2302,545,0.05717582878724297,0.236750651607298,185,0.01940830885438523,0.08036490008688098,1072,0.11246328157784305,0.46568201563857514,242,0.025388166177087706,0.10512597741094701,258,0.027066722618548048,0.11207645525629888,7230,0.758497691984893,3.140747176368375,0.5460469157254562
E21a,0.75,0-8,2423,0.12381345439537764,2123,1962,0.8097399917457697,0.9241639189825719,13,0.005365249690466364,0.006123410268487989,65,0.026826248452331822,0.030617051342439944,74,0.03054065208419315,0.03485633537447009,9,0.003714403631861329,0.004239284032030146,300,0.12381345439537764,0.1413094677343382,0.036740461610927935
E21a,0.75,16-24,8596,0.5342019543973942,4004,1795,0.20881805490926011,0.4483016983016983,290,0.03373662168450442,0.07242757242757243,559,0.06503024662633783,0.1396103896103896,1204,0.14006514657980457,0.3006993006993007,156,0.01814797580269893,0.03896103896103896,4592,0.5342019543973942,1.1468531468531469,0.21203796203796205
E21a,0.75,24-32,6035,0.6394366197183099,2176,694,0.11499585749792875,0.31893382352941174,281,0.04656172328086164,0.12913602941176472,395,0.06545153272576636,0.18152573529411764,693,0.11483015741507871,0.31847426470588236,113,0.01872410936205468,0.05193014705882353,3859,0.6394366197183099,1.7734375,0.31066176470588236
