model,iou,class,n,top500_survival_rate,failed,raw_geometry_missing,raw_geometry_missing_rate_all,raw_geometry_missing_share_failed,confidence_floor,confidence_floor_rate_all,confidence_floor_share_failed,class_argmax_confusion,class_argmax_confusion_rate_all,class_argmax_confusion_share_failed,nms_suppression,nms_suppression_rate_all,nms_suppression_share_failed,rank_budget_501_1000,rank_budget_501_1000_rate_all,rank_budget_501_1000_share_failed,survives_top500,survives_top500_rate_all,survives_top500_share_failed,class_selection_share_failed
E16a,0.75,van,937,0.3244397011739594,633,203,0.21664887940234792,0.320695102685624,39,0.0416221985058698,0.061611374407582936,353,0.3767342582710779,0.5576619273301737,36,0.0384204909284952,0.05687203791469194,2,0.0021344717182497333,0.00315955766192733,304,0.3244397011739594,0.4802527646129542,0.6192733017377567
E21a,0.5,awning-tricycle,305,0.46229508196721314,164,5,0.01639344262295082,0.03048780487804878,38,0.12459016393442623,0.23170731707317074,106,0.3475409836065574,0.6463414634146342,5,0.01639344262295082,0.03048780487804878,10,0.03278688524590164,0.06097560975609756,141,0.46229508196721314,0.8597560975609756,0.8780487804878049
E21a,0.5,bicycle,1053,0.6058879392212726,415,64,0.060778727445394115,0.15421686746987953,35,0.03323836657169991,0.08433734939759036,198,0.18803418803418803,0.4771084337349398,52,0.04938271604938271,0.12530120481927712,66,0.06267806267806268,0.15903614457831325,638,0.6058879392212726,1.5373493975903614,0.5614457831325301
E21a,0.5,bus,116,0.5344827586206896,54,10,0.08620689655172414,0.18518518518518517,15,0.12931034482758622,0.2777777777777778,23,0.19827586206896552,0.42592592592592593,1,0.008620689655172414,0.018518518518518517,5,0.04310344827586207,0.09259259259259259,62,0.5344827586206896,1.1481481481481481,0.7037037037037037
E21a,0.5,car,6910,0.9286541244573082,493,193,0.02793053545586107,0.39148073022312374,49,0.007091172214182344,0.09939148073022312,90,0.013024602026049204,0.18255578093306288,61,0.008827785817655571,0.12373225152129817,100,0.01447178002894356,0.2028397565922921,6417,0.9286541244573082,13.016227180527384,0.281947261663286
E21a,0.5,motor,3978,0.8594771241830066,559,118,0.029663147310206132,0.2110912343470483,69,0.017345399698340876,0.12343470483005367,247,0.06209150326797386,0.4418604651162791,50,0.01256913021618904,0.08944543828264759,75,0.01885369532428356,0.13416815742397137,3419,0.8594771241830066,6.116279069767442,0.5652951699463328
E21a,0.5,pedestrian,7746,0.8010586108959463,1541,459,0.0592563903950426,0.29785853341985724,111,0.014329976762199844,0.07203114860480207,543,0.07010069713400464,0.35236859182349123,201,0.025948876839659178,0.13043478260869565,227,0.029305447973147433,0.1473069435431538,6205,0.8010586108959463,4.026606099935107,0.4243997404282933
E21a,0.5,people,4631,0.7326711293457137,1238,398,0.08594256100194342,0.32148626817447495,82,0.01770675879939538,0.06623586429725363,460,0.09933059814294969,0.3715670436187399,153,0.03303822068667674,0.12358642972536349,145,0.031310732023321096,0.11712439418416801,3393,0.7326711293457137,2.7407108239095317,0.4378029079159935
E21a,0.5,tricycle,621,0.5813204508856683,260,23,0.037037037037037035,0.08846153846153847,45,0.07246376811594203,0.17307692307692307,153,0.2463768115942029,0.5884615384615385,14,0.02254428341384863,0.05384615384615385,25,0.040257648953301126,0.09615384615384616,361,0.5813204508856683,1.3884615384615384,0.7615384615384615
E21a,0.5,truck,289,0.49480968858131485,146,11,0.03806228373702422,0.07534246575342465,25,0.08650519031141868,0.17123287671232876,95,0.328719723183391,0.6506849315068494,3,0.010380622837370242,0.02054794520547945,12,0.04152249134948097,0.0821917808219178,143,0.49480968858131485,0.9794520547945206,0.821917808219178
E21a,0.5,van,937,0.4535752401280683,512,20,0.021344717182497332,0.0390625,24,0.025613660618996798,0.046875,454,0.48452508004268946,0.88671875,9,0.0096051227321238,0.017578125,5,0.005336179295624333,0.009765625,425,0.4535752401280683,0.830078125,0.93359375
E21a,0.75,awning-tricycle,305,0.26557377049180325,224,106,0.3475409836065574,0.4732142857142857,26,0.08524590163934426,0.11607142857142858,73,0.23934426229508196,0.32589285714285715,13,0.04262295081967213,0.05803571428571429,6,0.019672131147540985,0.026785714285714284,81,0.26557377049180325,0.36160714285714285,0.4419642857142857
E21a,0.75,bicycle,1053,0.251661918328585,788,459,0.4358974358974359,0.5824873096446701,49,0.04653371320037987,0.06218274111675127,133,0.12630579297245964,0.16878172588832488,132,0.12535612535612536,0.16751269035532995,15,0.014245014245014245,0.01903553299492386,265,0.251661918328585,0.3362944162436548,0.23096446700507614
E21a,0.75,bus,116,0.43103448275862066,66,47,0.4051724137931034,0.7121212121212122,4,0.034482758620689655,0.06060606060606061,13,0.11206896551724138,0.19696969696969696,2,0.017241379310344827,0.030303030303030304,0,0.0,0.0,50,0.43103448275862066,0.7575757575757576,0.25757575757575757
E21a,0.75,car,6910,0.6552821997105645,2382,1470,0.21273516642547033,0.6171284634760705,145,0.020984081041968163,0.06087321578505458,100,0.01447178002894356,0.041981528127623846,600,0.08683068017366136,0.2518891687657431,67,0.009696092619392185,0.028127623845507977,4528,0.6552821997105645,1.9009235936188078,0.10285474391267842
E21a,0.75,motor,3978,0.44017094017094016,2227,1285,0.32302664655605834,0.5770094297260889,111,0.02790346907993967,0.049842837898518184,182,0.0457516339869281,0.08172429277054333,595,0.14957264957264957,0.26717557251908397,54,0.013574660633484163,0.024247867085765602,1751,0.44017094017094016,0.7862595419847328,0.1315671306690615
E21a,0.75,pedestrian,7746,0.41169635941130905,4557,2958,0.38187451587916343,0.6491112574061882,166,0.021430415698424993,0.036427474215492646,340,0.043893622514846374,0.07461048935703314,983,0.12690420862380583,0.21571209128812815,110,0.014200877872450297,0.02413868773315778,3189,0.41169635941130905,0.6998025016458196,0.11103796357252578
E21a,0.75,people,4631,0.3275750377888145,3114,2098,0.45303390196501836,0.6737315350032113,110,0.023752969121140142,0.035324341682723186,233,0.05031310732023321,0.07482337829158639,568,0.12265169509825091,0.18240205523442518,105,0.022673288706542862,0.03371868978805395,1517,0.3275750377888145,0.4871547848426461,0.11014771997430957
E21a,0.75,tricycle,621,0.33011272141706927,416,181,0.2914653784219002,0.43509615384615385,52,0.08373590982286634,0.125,117,0.18840579710144928,0.28125,54,0.08695652173913043,0.12980769230769232,12,0.01932367149758454,0.028846153846153848,205,0.33011272141706927,0.49278846153846156,0.40625
E21a,0.75,truck,289,0.28027681660899656,208,93,0.3217993079584775,0.44711538461538464,18,0.06228373702422145,0.08653846153846154,74,0.2560553633217993,0.3557692307692308,18,0.06228373702422145,0.08653846153846154,5,0.01730103806228374,0.02403846153846154,81,0.28027681660899656,0.3894230769230769,0.4423076923076923
E21a,0.75,van,937,0.3329775880469584,625,192,0.20490928495197439,0.3072,39,0.0416221985058698,0.0624,352,0.37566702241195304,0.5632,40,0.042689434364994665,0.064,2,0.0021344717182497333,0.0032,312,0.3329775880469584,0.4992,0.6256
