model,size_bin,iou,n,matched500,match500_rate,sameclass_oracle1000_rate,anyclass_oracle1000_rate,unmatched,rank_budget,class_confusion,competition,coverage_localization,best_valid_sameclass_rank_mean,best_valid_sameclass_rank_p50,best_valid_sameclass_rank_p90,best_valid_sameclass_score_mean,matched500_score_mean,rank_budget_501_1000_share_of_unmatched,class_confusion_share_of_unmatched,competition_within_top500_share_of_unmatched,coverage_localization_share_of_unmatched
E5a,24-32,0.5,6035,5231,0.8667771333885667,0.8946147473073737,0.9764705882352941,804,151,494,17,142,82.41544730505649,38.0,180.0,0.5250044510780064,0.5365641861491479,0.18781094527363185,0.6144278606965174,0.021144278606965175,0.17661691542288557
E5a,8-16,0.5,9532,7167,0.7518883759966429,0.7827318506084767,0.9041124632815778,2365,243,1157,51,914,115.62324085243264,65.0,273.0,0.3643092482483144,0.3732042224113452,0.10274841437632136,0.48921775898520087,0.02156448202959831,0.3864693446088795
E5a,0-8,0.75,2423,286,0.11803549319026001,0.12381345439537764,0.1460998761865456,2137,14,54,0,2069,122.56333333333333,69.0,302.4000000000001,0.2923517035203986,0.3057391707340933,0.006551240056153486,0.02526906878802059,0.0,0.9681796911558259
E5a,16-24,0.75,8596,4601,0.535248953001396,0.553978594695207,0.6285481619357841,3995,155,641,6,3193,91.06719865602687,44.0,213.90000000000055,0.49251279773513607,0.5086067657429608,0.03879849812265332,0.160450563204005,0.001501877346683354,0.7992490613266583
E5a,24-32,0.75,6035,3862,0.63993371996686,0.6571665285832643,0.7343827671913836,2173,100,466,4,1603,76.86359051941503,34.0,176.5,0.5578095065320612,0.5719348204742726,0.04601932811780948,0.21445006902899216,0.0018407731247123793,0.737689829728486
E5a,8-16,0.75,9532,3155,0.3309903483004616,0.34336970205623163,0.39918170373478806,6377,114,532,4,5727,107.71371830125267,57.0,255.80000000000018,0.41336086836445474,0.427752424069391,0.017876744550729184,0.08342480790340286,0.0006272541947624275,0.8980711933511055
E10a,0-8,0.5,2423,1279,0.5278580272389599,0.5546842756912918,0.6694180767643417,1144,61,278,4,801,135.64434523809524,79.0,327.70000000000005,0.24229722111219112,0.2521936509707627,0.05332167832167832,0.243006993006993,0.0034965034965034965,0.7001748251748252
E10a,16-24,0.5,8596,7335,0.853303862261517,0.885295486272685,0.9691717077710563,1261,235,721,40,265,96.19789750328515,51.0,216.0,0.46109067781676283,0.472047362168543,0.18636003172085647,0.5717684377478192,0.0317208564631245,0.21015067406819984
E10a,24-32,0.5,6035,5269,0.8730737365368683,0.8971002485501243,0.976139188069594,766,138,477,7,144,82.67325452530477,39.0,189.0,0.52959235583319,0.5393781039623792,0.1801566579634465,0.6227154046997389,0.009138381201044387,0.18798955613577023
E10a,8-16,0.5,9532,7155,0.7506294586655476,0.7871380612673101,0.9032731850608476,2377,304,1107,44,922,119.92922830867653,66.0,284.0,0.3699491330043161,0.38139582413729023,0.12789230122002523,0.4657130837189735,0.01851072780816155,0.38788388725283973
E10a,0-8,0.75,2423,285,0.11762278167560875,0.11968633924886504,0.141972761040033,2138,5,54,0,2079,104.54482758620689,67.0,252.20000000000005,0.2972113629016255,0.30169862236076017,0.0023386342376052385,0.025257249766136577,0.0,0.9724041159962582
E10a,16-24,0.75,8596,4609,0.5361796184271754,0.5554909260120986,0.6255234993020009,3987,161,602,5,3219,92.58764397905759,44.0,215.0,0.49676534299553415,0.5135270753216842,0.04038123902683722,0.15099071983947832,0.001254075746175069,0.8073739653875094
E10a,24-32,0.75,6035,3888,0.6442419221209611,0.6636288318144159,0.7388566694283347,2147,114,454,3,1576,77.99775280898876,34.0,176.5999999999999,0.561416568805245,0.577526450766759,0.05309734513274336,0.21145784816022356,0.0013972985561248254,0.7340475081509082
