model,class,iou,n,matched500,match500_rate,sameclass_oracle1000_rate,anyclass_oracle1000_rate,unmatched,rank_budget,class_confusion,competition,coverage_localization,best_valid_sameclass_rank_mean,best_valid_sameclass_rank_p50,best_valid_sameclass_rank_p90,best_valid_sameclass_score_mean,matched500_score_mean,rank_budget_501_1000_share_of_unmatched,class_confusion_share_of_unmatched,competition_within_top500_share_of_unmatched,coverage_localization_share_of_unmatched
E16a,truck,0.5,289,136,0.47058823529411764,0.48788927335640137,0.9307958477508651,153,5,128,0,20,96.93617021276596,46.0,262.0,0.33602494979112124,0.3437393370344687,0.032679738562091505,0.8366013071895425,0.0,0.13071895424836602
E16a,van,0.5,937,411,0.4386339381003202,0.4439701173959445,0.9626467449306296,526,4,486,1,35,74.11057692307692,48.0,136.5,0.49459661272619715,0.4965966344718117,0.0076045627376425855,0.9239543726235742,0.0019011406844106464,0.06653992395437262
E16a,awning-tricycle,0.75,305,73,0.23934426229508196,0.24262295081967214,0.5540983606557377,232,1,95,0,136,89.41891891891892,46.5,212.4000000000001,0.42271013031210247,0.4282932179495182,0.004310344827586207,0.40948275862068967,0.0,0.5862068965517241
E16a,bicycle,0.75,1053,273,0.25925925925925924,0.288698955365622,0.39411206077872746,780,31,111,0,638,190.91447368421052,94.0,507.1999999999997,0.30071797936666134,0.33301517031805405,0.03974358974358974,0.1423076923076923,0.0,0.8179487179487179
E16a,bus,0.75,116,47,0.4051724137931034,0.4224137931034483,0.5862068965517241,69,2,19,0,48,100.79591836734694,48.0,273.8000000000001,0.4941749799977608,0.5149797033716706,0.028985507246376812,0.2753623188405797,0.0,0.6956521739130435
E16a,car,0.75,6910,4538,0.6567293777134587,0.6645441389290883,0.6806078147612157,2372,54,111,0,2207,54.94904181184669,29.0,101.0,0.6202915888197537,0.6274858546501414,0.022765598650927487,0.046795952782462055,0.0,0.9304384485666105
E16a,motor,0.75,3978,1743,0.4381598793363499,0.4514831573655103,0.5115635997988939,2235,52,239,1,1943,96.95378619153675,52.0,221.5,0.4278739965652382,0.44029657150086016,0.023266219239373602,0.10693512304250559,0.00044742729306487697,0.8693512304250559
E16a,pedestrian,0.75,7746,3186,0.4113090627420604,0.4273173250710044,0.4740511231603408,4560,121,362,3,4074,104.26344410876133,53.0,245.0999999999999,0.46332874870475727,0.4801005998729978,0.026535087719298245,0.0793859649122807,0.0006578947368421052,0.8934210526315789
E16a,people,0.75,4631,1544,0.33340531202763984,0.35327143165622976,0.39969768948391277,3087,90,215,2,2780,126.86308068459658,58.0,333.0,0.38053100015060104,0.4019691103209357,0.029154518950437316,0.06964690638160026,0.0006478781988986071,0.9005506964690638
E16a,tricycle,0.75,621,208,0.33494363929146537,0.357487922705314,0.5619967793880838,413,14,127,0,272,138.96846846846847,72.0,391.00000000000006,0.3555347334734072,0.37879454991735445,0.03389830508474576,0.3075060532687651,0.0,0.6585956416464891
E16a,truck,0.75,289,83,0.28719723183391005,0.28719723183391005,0.5640138408304498,206,0,80,0,126,77.92771084337349,38.0,196.39999999999998,0.39311249788671015,0.39311249788671015,0.0,0.3883495145631068,0.0,0.6116504854368932
E16a,van,0.75,937,304,0.3244397011739594,0.3265741728922092,0.6670224119530416,633,2,319,0,312,63.48692810457516,42.5,126.0,0.5375181899141228,0.5409840892504068,0.00315955766192733,0.5039494470774092,0.0,0.4928909952606635
E21a,awning-tricycle,0.5,305,140,0.45901639344262296,0.49508196721311476,0.9278688524590164,165,10,132,1,22,170.95364238410596,98.0,422.0,0.2658162506471468,0.28517096971627326,0.06060606060606061,0.8,0.006060606060606061,0.13333333333333333
E21a,bicycle,0.5,1053,633,0.6011396011396012,0.6685660018993352,0.8812915479582146,420,66,224,5,125,196.57102272727272,117.0,468.70000000000005,0.25904890141497494,0.280652418036542,0.15714285714285714,0.5333333333333333,0.011904761904761904,0.2976190476190476
E21a,bus,0.5,116,62,0.5344827586206896,0.5775862068965517,0.8706896551724138,54,5,34,0,15,145.7462686567164,58.0,345.3999999999999,0.42461610094074215,0.45671171423107865,0.09259259259259259,0.6296296296296297,0.0,0.2777777777777778
E21a,car,0.5,6910,6408,0.9273516642547033,0.9431259044862518,0.9587554269175108,502,100,108,9,285,71.25272364584931,38.0,149.0,0.54694056096605,0.5545214236601745,0.199203187250996,0.2151394422310757,0.017928286852589643,0.5677290836653387
E21a,motor,0.5,3978,3411,0.8574660633484162,0.8785822021116139,0.9479638009049773,567,75,276,9,207,92.14763948497854,55.0,183.0,0.4080957298873536,0.4150192878883178,0.13227513227513227,0.48677248677248675,0.015873015873015872,0.36507936507936506
E21a,pedestrian,0.5,7746,6167,0.7961528530854635,0.8302349599793442,0.9053705138135812,1579,227,582,37,733,114.13652620121287,63.0,263.0,0.41450605254634504,0.4250332840427772,0.14376187460417986,0.36858771374287524,0.023432552248258392,0.4642178594046865
E21a,people,0.5,4631,3355,0.7244655581947743,0.7639818613690348,0.8734614554091988,1276,145,507,38,586,114.9624081401922,60.0,276.0,0.3789300398677093,0.38594749056162997,0.11363636363636363,0.39733542319749215,0.029780564263322883,0.4592476489028213
E21a,tricycle,0.5,621,361,0.5813204508856683,0.6215780998389694,0.9323671497584541,260,25,193,0,42,151.34715025906735,75.5,422.5,0.316706489380437,0.33730468775050254,0.09615384615384616,0.7423076923076923,0.0,0.16153846153846155
E21a,truck,0.5,289,142,0.4913494809688581,0.5363321799307958,0.9238754325259516,147,12,112,1,22,128.45806451612904,55.0,370.19999999999993,0.33488981792658207,0.3601438035084997,0.08163265306122448,0.7619047619047619,0.006802721088435374,0.14965986394557823
E21a,van,0.5,937,424,0.45250800426894344,0.4589114194236926,0.9690501600853789,513,5,478,1,29,70.74418604651163,47.0,126.0,0.5027000088114725,0.5074095279939324,0.009746588693957114,0.9317738791423001,0.001949317738791423,0.056530214424951264
