model,mode,class,AP_all,AP_small,AP_medium,AP_large
E10a,paired500,bus,0.503667636977487,0.2954506976409645,0.611976684513555,0.8423808120559829
E10a,full1000,bus,0.5044036359916793,0.29729999250816525,0.6118033274464022,0.8415069310787104
E10a,paired500,motor,0.3095542830843135,0.2797700262105709,0.4337532839956772,0.5238433843384339
E10a,full1000,motor,0.3102839443661479,0.28049392951517277,0.43494103682528434,0.5236405347851858
E16a,paired500,pedestrian,0.3229152825237706,0.2901143416041602,0.5198296314739193,0.8053426283022255
E16a,full1000,pedestrian,0.32504092773519444,0.292011351177491,0.5230014910708071,0.8042935983661578
E16a,paired500,people,0.22194270540925387,0.21251907628123265,0.3239021266428124,0.5566081608160817
E16a,full1000,people,0.2241384840561917,0.21444092226499736,0.3290549602660005,0.5566081608160817
E16a,paired500,bicycle,0.16293249341732444,0.12261520435690575,0.33369669005720354,0.2955445544554455
E16a,full1000,bicycle,0.1643145851675349,0.12393796222899671,0.33551269851943566,0.2955445544554455
E16a,paired500,car,0.6293325945900801,0.47992439647427915,0.7405316714041008,0.852294275956734
E16a,full1000,car,0.6303387054695332,0.4808840628445653,0.7418732840666213,0.852294275956734
E16a,paired500,van,0.3507666819515649,0.21004577556109236,0.48668296398237393,0.4507286223246436
E16a,full1000,van,0.35136701340186094,0.21023654793960547,0.4880477895460488,0.4507286223246436
E16a,paired500,truck,0.3162957924613646,0.1350967557016939,0.36278758241111464,0.6540253873081707
E16a,full1000,truck,0.3171193036526409,0.1353460977963738,0.36374186096080363,0.6587689382981256
E16a,paired500,tricycle,0.20829632119012717,0.16628613992348387,0.27214270537969715,0.3952993776781396
E16a,full1000,tricycle,0.21025843010178408,0.16806981735909893,0.27445280111154435,0.3916687010619949
E16a,paired500,awning-tricycle,0.12630059662979473,0.09343121698680566,0.1652417414950159,0.3536633663366336
E16a,full1000,awning-tricycle,0.12761633414988038,0.0939700090257772,0.1674197384984188,0.3536633663366336
E16a,paired500,bus,0.4868432611646333,0.26642967151004704,0.6134912148045265,0.8160212109541659
E16a,full1000,bus,0.48977402067949416,0.2696267052761879,0.6150715675865704,0.815266643822804
E16a,paired500,motor,0.31195327768416686,0.2810443604308957,0.43748821903851776,0.5912541254125413
E16a,full1000,motor,0.3127682618585009,0.2818741140129326,0.4385274060302675,0.5912541254125413
E21a,paired500,pedestrian,0.3258434477106277,0.2938928306477224,0.5197345439471038,0.7853406479803601
E21a,full1000,pedestrian,0.32772702041924195,0.2956578205881264,0.523674425003693,0.7853406479803601
E21a,paired500,people,0.22137988584171372,0.21094234270727522,0.3348281073414284,0.1966839541096967
E21a,full1000,people,0.2233276975359047,0.2126064581825816,0.33984334319815945,0.1966839541096967
E21a,paired500,bicycle,0.16820728694954565,0.12871819812397575,0.3360729863885684,0.26666666666666666
E21a,full1000,bicycle,0.16897887167231274,0.12949634899453571,0.3365507638552296,0.26666666666666666
E21a,paired500,car,0.6298176077553214,0.479395789165634,0.7422387365985458,0.8494420460807254
E21a,full1000,car,0.6310063281307757,0.48049270371134745,0.7439577948406579,0.8494021466918142
E21a,paired500,van,0.35947919272107215,0.20727919039359305,0.49772832156692615,0.4782771923231727
E21a,full1000,van,0.3599794208703606,0.20731026993136112,0.49943216887456754,0.47824495029299946
E21a,paired500,truck,0.3176235734934654,0.1563360800120551,0.36575802023532566,0.6263052411178706
E21a,full1000,truck,0.31903131041057964,0.1574827295561886,0.36680576125495173,0.6295340841201383
E21a,paired500,tricycle,0.21930021571223135,0.17540597260370935,0.2875884133904444,0.4822204638046222
E21a,full1000,tricycle,0.2211985653549786,0.17728061873030904,0.28912842889250717,0.4803841558103813
E21a,paired500,awning-tricycle,0.12567875544142715,0.09929046483335875,0.16459840694718977,0.1309215536938309
E21a,full1000,awning-tricycle,0.1265584172329269,0.09998627677142967,0.16546946239333596,0.13058305830583058
E21a,paired500,bus,0.48596612004804646,0.2843589221425208,0.5942323395732332,0.8034988175541691
E21a,full1000,bus,0.4862290382390087,0.2854251273702145,0.5930678954203896,0.8034988175541691
E21a,paired500,motor,0.31237488225832616,0.28074641027556596,0.44108565729058097,0.2663889246067464
E21a,full1000,motor,0.31305300770967426,0.281477081535925,0.44196514201980636,0.2663889246067464
