model,density_bin,iou,n,matched500,match500_rate,sameclass_oracle1000_rate,anyclass_oracle1000_rate,unmatched,rank_budget,class_confusion,competition,coverage_localization,best_valid_sameclass_rank_mean,best_valid_sameclass_rank_p50,best_valid_sameclass_rank_p90,best_valid_sameclass_score_mean,matched500_score_mean,rank_budget_501_1000_share_of_unmatched,class_confusion_share_of_unmatched,competition_within_top500_share_of_unmatched,coverage_localization_share_of_unmatched
E5a,middle,0.75,14232,6600,0.463743676222597,0.48109893198426085,0.5416666666666666,7632,247,862,0,6523,97.4222287133051,46.0,239.0,0.4767651832178805,0.4940645733416243,0.03236373165618449,0.11294549266247379,0.0,0.8546907756813418
E5a,sparse,0.75,5640,3414,0.6053191489361702,0.6189716312056738,0.6934397163120567,2226,77,420,0,1729,67.58264107705529,29.0,138.0,0.5749108806679725,0.5876884845790072,0.03459119496855346,0.18867924528301888,0.0,0.7767295597484277
E10a,dense,0.5,6714,4667,0.6951146857313077,0.7350312779267203,0.8504617217753947,2047,185,775,83,1004,121.65653495440729,68.0,282.0,0.35117845929351854,0.3517886567699701,0.0903761602344895,0.3786028334147533,0.04054714215925745,0.49047386419149974
E10a,middle,0.5,14232,11567,0.8127459246767847,0.8427487352445194,0.9345137717819,2665,415,1306,12,932,105.86584959146239,55.0,248.0,0.43192820169612783,0.4453913192953445,0.15572232645403378,0.4900562851782364,0.00450281425891182,0.349718574108818
E10a,sparse,0.5,5640,4804,0.85177304964539,0.876241134751773,0.9652482269503546,836,138,502,0,196,79.25212464589235,37.0,172.0,0.5187932689226534,0.5333585306293204,0.16507177033492823,0.6004784688995215,0.0,0.23444976076555024
E10a,dense,0.75,6714,1865,0.2777777777777778,0.2896931784331248,0.3434614238903783,4849,69,361,11,4408,114.44627249357326,63.0,263.60000000000014,0.38464749412632676,0.397117129052757,0.014229738090327902,0.07444833986388946,0.0022685089709218397,0.9090534130748608
E10a,middle,0.75,14232,6628,0.46571107363687464,0.48243395165823494,0.5408234963462619,7604,238,831,0,6535,97.43227497815322,47.0,237.5,0.48089483572591174,0.4975477033256974,0.03129931614939505,0.1092845870594424,0.0,0.8594160967911626
E10a,sparse,0.75,5640,3394,0.60177304964539,0.6170212765957447,0.6976950354609929,2246,86,455,0,1705,67.03908045977012,30.0,133.0999999999999,0.5794396887193487,0.593757503176758,0.03829029385574354,0.20258236865538737,0.0,0.7591273374888691
E16a,dense,0.5,6714,4696,0.699434018468871,0.7378611855823652,0.8541852844801906,2018,167,781,91,979,119.64553895841745,69.0,273.0,0.35201535752409907,0.35242461901172173,0.08275520317145689,0.38701684836471756,0.04509415262636274,0.48513379583746286
E16a,middle,0.5,14232,11557,0.8120432827431141,0.8424676784710512,0.9370432827431141,2675,415,1346,18,896,105.31484570475396,55.0,245.0,0.43537447443142613,0.44888247974144047,0.15514018691588785,0.503177570093458,0.0067289719626168224,0.3349532710280374
E16a,sparse,0.5,5640,4804,0.85177304964539,0.874113475177305,0.9648936170212766,836,126,512,0,198,78.8367139959432,36.0,178.0,0.5255633670191562,0.5390752179173357,0.1507177033492823,0.6124401913875598,0.0,0.23684210526315788
E16a,dense,0.75,6714,1929,0.2873100983020554,0.29684241882633305,0.3512064343163539,4785,58,365,6,4356,109.20471650777722,62.0,251.79999999999995,0.38915456547712596,0.4000187787182553,0.012121212121212121,0.07628004179728318,0.0012539184952978057,0.9103448275862069
E16a,middle,0.75,14232,6664,0.4682405845980888,0.48447161326587973,0.5453204047217538,7568,231,866,0,6471,95.1914430746918,46.0,222.0,0.49060833441533225,0.5070544383032473,0.030523255813953487,0.11442917547568711,0.0,0.8550475687103594
E16a,sparse,0.75,5640,3406,0.6039007092198582,0.6177304964539007,0.6969858156028369,2234,78,447,0,1709,66.43656716417911,29.0,137.0,0.5848533401322745,0.5980096618802188,0.03491495076096687,0.20008952551477172,0.0,0.7649955237242614
E21a,dense,0.5,6714,4683,0.6974977658623771,0.734435507893953,0.8565683646112601,2031,159,820,89,963,117.63415128777125,68.0,268.0,0.35778850166331916,0.3575515720369863,0.07828655834564253,0.4037419990152634,0.04382077794190054,0.4741506646971935
E21a,middle,0.5,14232,11601,0.8151349072512648,0.8429595278246206,0.9360595840359752,2631,384,1325,12,910,103.02275568892223,55.0,233.0,0.439427924395426,0.45202252131506215,0.1459521094640821,0.5036107943747624,0.004561003420752566,0.3458760927404029
E21a,sparse,0.5,5640,4819,0.8544326241134752,0.8769503546099291,0.9657801418439717,821,127,501,0,193,79.63141932875051,36.0,182.0,0.526132793318053,0.5396665243012212,0.15468940316686966,0.610231425091352,0.0,0.2350791717417783
E21a,dense,0.75,6714,1982,0.29520405123622284,0.3093535895144474,0.36520703008638666,4732,82,375,13,4262,115.99759268175252,64.0,259.0,0.3860798678573308,0.4003865796044529,0.017328825021132713,0.07924767540152156,0.0027472527472527475,0.900676246830093
E21a,middle,0.75,14232,6576,0.4620573355817875,0.4770236087689713,0.5355536818437324,7656,213,833,0,6610,93.01045809397554,46.0,211.0,0.4946499108756983,0.5101623485504124,0.027821316614420062,0.10880355276907001,0.0,0.86337513061651
E21a,sparse,0.75,5640,3412,0.6049645390070922,0.6193262411347518,0.6911347517730496,2228,81,405,0,1742,68.96535929000859,30.0,146.0,0.5834210632974696,0.5969831553186947,0.036355475763016155,0.1817773788150808,0.0,0.781867145421903
